title,year,synopsis
Jaws ,1975,"
                                                        One summer evening in late June on the New England island of Amity, teenager Chrissie Watkins invites a drunken fellow student, Cassidy, to skinny dip in the ocean.  Although enthused, Cassidy passes out a few feet from the shore, while Chrissie strips and dives into the sea only to be brutally attacked from underwater.  The next morning, police chief Martin Brody meets Cassidy, who has reported Chrissie missing, on the beach just as Deputy Hendricks discovers the mutilated remains of a female body.  Suspecting that Chrissie was a victim of a shark attack, Brody hurries to his office to make out a report and consult with the town physician.  Determined to close the beaches when the doctor confirms his fears, Brody sets off to Amity Bay, but is intercepted by Mayor Larry Vaughn, two city council members and the doctor.  Vaughn reminds Brody that closing the beaches requires a signed city ordinance and that the Fourth of July weekend is about to begin.  When the doctor reluctantly admits that the body may have been mutilated by a motorboat blade and Vaughn insists they do not want to start a pointless panic, Brody grudgingly agrees to keep the beaches open. The next day, an uneasy Brody oversees the crowded beach, accompanied by his wife Ellen and their two young sons, Michael and Sean.  Dozens of children and young people thrash about in the surf and a dog repeatedly fetches a stick thrown in the water by his owner.  Moments later, however, the dog disappears and a group of people suddenly notice a pool of bloody red foam in the sea.  As ...
                                                        "
North by Northwest ,1959,"
                                                        In New York City, advertising executive Roger Thornhill attends an informal business meeting at The Plaza hotel, where, intending to send his mother a wire, he summons a bellboy who has just paged George Kaplan. Across the room, two men, Valerian and Licht, believe Roger’s summons is acknowledgment that he is Kaplan and when Roger leaves the bar, forcibly take him to a waiting car and drive him to the private home of Lester Townsend in Glen Cove.  There he is met by the suave Phillip Vandamm, who Roger believes is Townsend.  Vandamm dismisses Roger’s claim that he is not Kaplan and urges him to reveal the information he wants.  When Roger continues to deny being Kaplan, Vandamm's secretary, Leonard, forces Roger to drink an entire bottle of bourbon then places him behind the wheel of a car on a mountain road.  Although completely befuddled by the liquor, Roger revives sufficiently to drive erratically down the hill until he is picked up by police.  At court the next day, Roger and his lawyer describe his abduction and near murder, prompting the judge to order an investigation by county detectives.  In the company of his mother and the detectives, Roger returns to the Townsend home but there is no sign of the kidnapping incident.  A woman claiming to be Mrs. Townsend indicates Roger attended a party at the house the previous evening and reveals that Townsend is at the United Nations addressing the General Assembly.  Roger and his mother return to The Plaza hotel in search of Kaplan.  In Kaplan’s room, Roger finds a newspaper photograph of Vandamm who he still ...
                                                        "
M*A*S*H ,1970,"
                                                        During the Korean War, Col. Henry Blake commands the 4077th Mobile Army Surgical Hospital (MASH), only miles from the front line. A lax military leader, the married Blake is more concerned with his lover and running the hospital than following any military protocol. Meanwhile, his right-hand man, Corp. “Radar” O’Reilly, who has an uncanny ability to recite Blake’s every command before he can utter it, manages the necessary bureaucratic red tape. In crowded and bloody operating tents, the short-handed staff, equipped with rapidly diminishing supplies, deals with dozens of wounded soldiers in twelve-hour shifts. Even the sincere yet ineffective Father John Mulcahey, also known as “Dago Red,” must stop reading the last rights to a dying man to assist in surgery. Upon Blake’s request for additional help, surgeons Duke Forrest and Hawkeye Pierce are sent to the 4077th. While extremely competent, the recently drafted Duke and Hawkeye lack any respect for military decorum. To maintain their sanity amidst the constant flow of death and mayhem, they flirt with the nurses, arrogantly quip in surgery and play practical jokes on their roommate, the fanatically pious and taciturn Maj. Frank Burns. After watching Burns teach Korean mess hall boy Ho-jon to learn English by reading the Bible out loud, Duke and Hawkeye decide the sixteen-year-old would have more fun practicing with "
The Deer Hunter ,1978,"
                                                        In a small Pennsylvania town called Clairton, five friends, Steven, Stan, Nick, Axel and Michael, leave their job at the steel mill and get ready for Steven’s wedding that night.  While making preparations with the priest at the church, Steven’s mother expresses disapproval of Steven’s fiancée, Angela, because the bride is pregnant and Steven may not be the father.  She also complains that she will be stuck alone with the new wife when Steven, Nick and Michael leave to fight in the Vietnam War.  At the wedding reception, Michael flirts with Nick’s girlfriend, Linda.  When Nick asks Linda to marry him when he and his friends return from war, she says yes.  The next morning, Michael, Nick, Stan and Axel go deer hunting.  Michael explains his theory of the importance of killing a deer cleanly with one shot.  During the hunt, Michael shoots and kills a buck.  Later, in Vietnam, the Viet Cong destroy a village.  Michael kills an enemy soldier and is unexpectedly reunited with Steven and Nick.  All three are captured by the Viet Cong and placed in a prisoner camp on a river where the jailers force the men to play Russian roulette: one bullet is placed in a revolver, then a prisoner holds the gun up to his own head and pulls the trigger.  When an injured Steven becomes unhinged and refuses to play, he is beaten and put in a watery pit to die.  Michael tells Nick he has an escape plan:  Michael will have the Viet Cong put three bullets in the Russian roulette gun and he and Nick will ...
                                                        "
Taxi Driver ,1976,"
                                                        Twenty-six year old Travis Bickle applies for a job as a New York City taxicab driver. The personnel officer drills Travis with questions, and warms to him when he realizes they both served in the Marines. After Travis expresses his willingness to drive long hours, any day, in any part of the city, he is hired. Travis later writes in his diary about the poor condition of the city, the disturbing people he sees, and his new job which pays him $300 to $350 per week. At work, he picks up an older man with a prostitute and complains afterward about cleaning bodily fluids off the backseat of the cab. After working twelve hour shifts, he complains that he cannot sleep and wants a purpose in life. One day, Travis sees a campaign worker named Betsy and describes his romantic impression of her in his diary. Inside headquarters for Senator Charles Palantine’s presidential campaign, Betsy and her coworker, Tom, engage in friendly conversation while Travis watches from his parked cab. Betsy becomes aware of Travis; however, when Tom goes outside to confront him, he speeds away. Later, he sits with fellow cab drivers in an all-night cafeteria, and they discuss the various acts of violence they've encountered. Travis remains distant and glares at several African American men. Sometime later, Travis asks Betsy out for coffee, and she accepts. At a diner, Travis and Betsy discuss the campaign, and she offers her impression of Travis, comparing him to lines from a song by Kris Kristofferson. Travis promptly buys the record. One evening, Travis picks up Senator Palantine. Though ignorant about political issues, Travis suggests the candidate clean up the city ...
                                                        "
West Side Story ,1961,"
                                                        In the slums of the upper West Side of Manhattan, New York, a gang of Polish-American teenagers called the Jets compete with a rival gang of recently immigrated Puerto Ricans, the Sharks, to “own” the neighborhood streets.  The tension between them is marked by their bullying and tormenting of one another, and when a series of incidents erupts into a fistfight on a playground, two policemen, the bigoted Lt. Schrank and Officer Krupke, arrive in time to break it up. Afterward, Riff, the leader of the Jets, suggests to his companions that they settle their differences with the Sharks once and for all by challenging them to a “rumble,” which is their term for a street fight.  Although Riff warns that the Sharks may choose to fight with zip guns or knives rather than fists, the Jets are enthusiastic about his idea.  For support, Riff meets with Tony, a former member of the Jets who is like a brother and who now works in a candy store owned by good-hearted Doc.  Riff asks Tony to attend a dance at the gym, an area considered neutral territory where Riff can present the challenge to Bernardo, the Shark’s leader.  Tony, who has lost interest in promoting violence, reluctantly agrees to accompany him out of friendship.  When Tony confides that he has been having premonitions that something special is about to happen to him, Riff suggests that it may be waiting for him at the dance.  Meanwhile, Bernardo’s younger sister Maria and his girl friend, Anita, both of whom work at a bridal shop, are finishing a dress for Maria to wear to the dance, ...
                                                        "
The Lord of the Rings: The Fellowship of the Ring ,2001,"
                                                        In the mythical world of Middle-Earth, many thousands of years ago, several powerful rings were made and given to the heads of each state: three rings for the Elven-kings, seven for the Dwarf-lords and nine for Mortal Men. Unknown to them, however, the Dark Lord Sauron had secretly forged an additional ring, a master containing the power to rule the others, and for many years, enslaved the inhabitants of Middle-Earth, using armies of disfigured creatures called Orcs to carry out his aggressive campaigns. Eventually, an alliance of Elves and Men drove the Orcs back into Sauron’s territory, called Mordor. At the base of Mount Doom, where the master ring was forged, Sauron joined the battle and slayed the Human king Elendil, but was then attacked by Elendil’s son, Isildur, who cut the ring from Sauron’s hand. Without it, Sauron’s physical body crumbled and his power scattered. The Elf lord Elrond begged Isildur to destroy the ring by casting it into the fires of Mount Doom, but the ring, having a life of its own, enticed Isildur to keep it for himself. Later, Isildur was killed by Orcs when the ring, which grants invisibility to the wearer, slipped from his finger. The ring rested at the bottom of a river until found by the Hobbit-like creature Gollum, and over many years, the corruption in the ring disfigured Gollum’s mind and body. Then Bilbo Baggins, from a race of three-and-a-half-foot tall creatures called Hobbits, encountered Gollum, gained possession of the ring and returned with it to his home in the Shire. Since that time, because of the ring’s power, Bilbo has not appeared to age, although he is now celebrating his ...
                                                        "
Intolerance ,1916,"
                                                        When the Boy marries the Dear One, he decides to sever his relations with the underworld, which is led by the Musketeer of the Slums.  Not willing to let the Boy go, however, the Musketeer has him arrested on a trumped up charge, after which the Dear One, declared an unfit mother by the Jenkins foundation, has her baby taken away by the authorities.  The Boy is soon released, but when the Musketeer is murdered by the Friendless One, an ex-sweetheart, the Boy is charged with the crime.  Finally, the Boy is saved from hanging when the Friendless One confesses.  Three other intercut stories serve as counterparts to the modern drama.  One story depicts the events that lead to Christ's crucifixion.  In another, describing the St. Bartholomew's Day Massacre of 1572, Catherine de Medici persuades her son, King Charles IX of France, to murder the Huguenots.  Finally, in ancient Babylon, the High Priest of Bel schemes with Cyrus of Persia to take over the empire.  The Mountain Girl, who loves Prince Belshazzar of Babylon, learns of the plot and tries to warn the prince, but she arrives too late.  She dies during a battle with the invading forces, while the prince and his sweetheart Attarea commit suicide rather than submit to the tyranny of Cyrus and the high ...
                                                        "
Rear Window ,1954,"
                                                        Laid up with a broken leg during the height of summer, renowned New York magazine photographer L. B. “Jeff” Jeffries enters his last week of home confinement, bored and anxious.  A bachelor, Jeff has been spending his days sitting in a wheelchair, watching his neighbors through the rear window of his two-room apartment.  Although Stella, the nurse who drops by to massage his back and prepare his meals, disapproves of his “peeping” and counsels him to marry his girl friend, model Lisa Carol Fremont, Jeff insists that Lisa is too “perfect” and refined for his adventurous lifestyle.  Later, after observing a pair of amorous newlyweds moving into one of the buildings adjacent to his, Jeff is visited by the glamorous Lisa.  When Lisa, who has brought Jeff a lavish restaurant meal, suggests that he give up his globe-trotting and become a fashion photographer, Jeff reacts with disdain.  Jeff and Lisa then watch as a neighbor whom Jeff calls “Miss Lonely Hearts” entertains an imaginery dinner date, and “Miss Torso,” an attractive dancer, juggles the attentions of three male admirers in her apartment.  Jeff also notices the traveling salesman who lives in a second-story apartment directly across the courtyard, arguing with his bed-ridden wife.  After admiring the piano playing of Jeff’s neighbor, a struggling composer, Lisa confronts Jeff about their relationship, challenging his perception that their romance is doomed because of their different lifestyles.  Jeff, however, insists that the pampered Lisa would never be happy enduring hardships in exotic locales and refuses to consider changing his ways.  Before leaving, Lisa announces that she cannot continue seeing him without a commitment, then ...
                                                        "
A Streetcar Named Desire ,1952,"
                                                        Blanche DuBois arrives in New Orleans by train, and follows a sailor's directions to take a streetcar named ""Desire"" to her sister Stella Kowalski's apartment at Elysian Fields in the French Quarter. Blanche, an aging Southern belle, is horrified by the dilapidated building in which her sister lives with her husband Stanley, but is delighted to reunite with Stella, whom she feels abandoned her after their father's death. Blanche explains that she was given a leave of absence from her teaching job because she had become a little ""lunatic,"" and now makes herself at home in the cramped apartment, which affords little privacy. Blanche is immediately offended by Stanley's coarse manners, and he is infuriated when he learns that Blanche has lost the family home at Belle Reve. Stanley rants about the ""Napoleonic code,"" which he claims decrees that what belongs to the wife belongs to the husband. Unimpressed by Blanche's genteel manners, Stanley reveals that his wife is pregnant, and at his insistence, Blanche reluctantly digs out the papers which document the many unpaid loans written against the Belle Reve estate. That night, Stanley's poker game runs late, and when Stella and Blanche return from an outing together, Blanche meets Stanley's best friend Mitch, a bachelor who looks after his sick mother. Blanche turns on the radio and dances by herself, but Stanley is distracted by the music and flies into a drunken rage, during which he beats Stella. Stella and her terrified sister run up to their neighbor Eunice's apartment, but later, when Stanley calls up to her in remorse, Stella is drawn back to her husband and makes up with him. Blanche, horrified by Stanley's brutality, ...
                                                        "
It Happened One Night ,1934,"
                                                        Spoiled heiress Ellie Andrews escapes from her millionaire father Alexander's yacht when he kidnaps her after she elopes with and marries King Westley, a playboy aviator whom Andrews thinks is a fortune hunter.  She boards a bus headed for New York and meets Peter Warne, a reporter who has just been fired.  Despite their dislike for each other, Peter attempts to catch the thief who steals Ellie's suitcase, but he fails.  At their next stop, Ellie misses the bus after going to a nearby hotel to freshen up, and when she returns, discovers that Peter has waited for her, both to return the ticket she left behind and to show her a newspaper article revealing her identity, which she was trying to conceal. After another quarrel, they meet on the next bus, which is forced to stop due to a washed-out bridge.  Peter and Ellie spend the night in an auto lodge where they pretend they are married and rent one cabin to save money.  Peter informs her that he will help her reach Westley only if she will give him her exclusive story, which he needs to redeem himself, and that if she does not cooperate, he will call her father. She reluctantly accepts his terms while he strings a rope between their beds and hangs up a blanket, which he dubs ""The Walls of Jericho.""  The next morning, they are preparing to leave when they hear her father's detectives approaching.  They put on an excellent act of being married, and their fighting convinces the detectives to leave, after which Peter and Ellie board the bus.  Meanwhile, Andrews has offered ...
                                                        "
Shane ,1953,"
                                                        While playing on his Wyoming homestead, young Joey Starrett spies a lone rider approaching his house, then listens with great curiosity as Shane, the buckskin clad stranger, reveals to his father Joe that he is heading north, toward home.  When Joey cocks the rifle he has been toting, Shane, startled by the noise, draws his gun with the speed of a gunslinger.  Joe is disturbed by Shane’s behavior and, as a group of men ride up, sends him on his way.  The men’s leader, grizzled cattle baron Rufe Ryker, accuses Joe of squatting on his grazing land and demands that he give up his homestead.  When Joe refuses, Ryker’s men start to intimidate him until Shane suddenly reappears at Joe’s side.  The men depart, and Joe’s wife Marian, who has observed everything from inside the house, urges Joe to invite Shane to dinner.  Joey is thrilled to have Shane spend the evening with them, and at the end of the meal, Shane, reticent to talk about his past, goes outside to chop wood for the family.  Joe joins in and the next day, the two men team up to pull a stubborn tree stump out of the ground.  Later, Joey tells Shane that his parents want him to stay and innocently lets on that his father is concerned about Ryker’s threats.  Shane, who has put away his gun, agrees to remain and heads to town to buy work clothes.  Soon after, homesteader Ernie Wright arrives at the Starretts’ to announce that Ryker’s men have destroyed his wheat field and, consequently, he and his family are moving away.  Joe ...
                                                        "
The Philadelphia Story ,1941,"
                                                        The wealth and position of the socially prominent Lord family of Philadelphia has made Tracy, the eldest daughter, into an imperious and haughty shrew.  Tracy's attitude causes a marital rift with her childhood sweetheart, sportsman and recovering alcoholic C. K. Dexter Haven, leading to a divorce.  Two years later, Tracy is poised to wed the pompous and politically ambitious self-made man George Kittredge when Dexter returns from an extended absence accompanied by scandal sheet reporters Macaulay ""Mike"" Connor and Elizabeth Imbrie. Because Sidney Kidd, the powerful publisher of the scandal magazine "
Midnight Cowboy ,1969,"
                                                        Restless and dissatisfied with his life as a dishwasher in a small Texas town, young Joe Buck outfits himself in flashy cowboy dress and heads for New York City, confident that his fortune will be made by selling himself to wealthy, sex-starved Manhattan women.  While traveling by bus, he recalls some of the events of his childhood--the father who abandoned his wayward mother, the endless stream of men who visited his frisky grandmother Sally, and a series of sexual encounters during adolescence, including a gang rape of both Joe and his girl friend Annie.  After checking into a seedy Manhattan hotel, Joe takes to the streets and eventually picks up Cass, a rich, coarse, middle-aged blonde.  Although they make love in her East Side apartment, Joe not only fails to collect a fee but ends up giving her $20 for cab fare.  Later, at a cheap Broadway bar, Joe meets Ratso Rizzo, a crippled, tubercular petty thief and con artist who volunteers to work as his pimp and manager.  Although the two misfits have a falling out when Ratso sends Joe to the sleazy room of Mr. O'Daniel, a homosexual, religious fanatic, they patch up their differences and agree to share Ratso's dismally cold room in a condemned building.  Almost in spite of themselves, their mutual loneliness leads to genuine friendship as Ratso shares with Joe his fantasy of someday living a life of luxury in Miami Beach.  Economically, their partnership meets with little success, as Joe's typical ""conquests"" turn out to be as unprofitable as his encounter with a timid student to whom he gives himself in a 42nd Street theater ...
                                                        "
Bonnie and Clyde ,1967,"
                                                        During the Depression in the early 1930s, Bonnie Parker meets Clyde Barrow when he tries to steal her mother's car. Intrigued by his brazen manner and bored with her job as a waitress, she decides to become his partner in crime. Together they stage a series of amateur holdups that provide them with excitement but little monetary reward. Eventually they take on C. W. Moss, a dimwitted garage mechanic, who serves as their getaway driver. Finally they are joined by Clyde's brother Buck, recently released from prison, and his wife, Blanche, a whining preacher's daughter. As they add bank robbery and murder to their list of crimes, the quintet quickly becomes the object of statewide manhunts. While holed up in a rented apartment in Joplin, Missouri, they make the first of their incredible escapes from the police. Fascinated by the legendary reputation growing around them, they brag about their exploits, take pictures of each other, and, on one occasion, force a Texas Ranger to pose with them. Through it all a love relationship develops between Bonnie and Clyde that endures despite Clyde's impotence. After a visit with Bonnie's mother, the gang is surrounded in Dexter, Iowa. Buck dies with half of his face shot away, Blanche is blinded and captured, and Bonnie is wounded in the shoulder. The three survivors find a temporary hideout with C. W.'s father in a Louisiana town, and there Bonnie and Clyde finally consummate their love. Bonnie recovers from her wounds, and they plan to move on again; but C. W.'s father, hoping to lighten his son's punishment, has cooperated with the police in setting a trap. In May of 1934, Bonnie and Clyde ...
                                                        "
King Kong ,1933,"
                                                        Because he refuses to disclose any information concerning the exotic location of his upcoming movie project, Carl Denham, a renowned adventure filmmaker, is forced to search the streets of New York to find a lead actress.  At a fruit stand, he stumbles onto the beautiful but broke Ann Darrow as she is about to steal an apple for her dinner.  Anxious for work, Ann eagerly accepts Denham's part and agrees without question to make the long sea voyage the next morning.  During the trip, Denham, who has refused to disclose his final destination even to the captain, Englehorn, makes screen tests of Ann, coaching her on how to scream and look terrified for the camera.  At the same time, the mysogynistic first mate, Jack Driscoll, chides Ann for being a woman on a man's ship, but soon falls in love with her.  As the boat enters tropical waters, Denham finally shows Englehorn a map detailing their exact destination--a tiny island dominated by a peak called Skull Mountain.  When the boat reaches the island, Ann, Denham and the crew go ashore and discover natives engaged in a frenetic religious ceremony that features men dressed in gorilla skins and a young woman tied to an altar.  While Englehorn attempts to make friends so that the camera-wielding Denham can shoot the scene, the native chief eyes the blonde Ann and states cryptically that she would make a good bride for “Kong.” Nervous about the chief's interest in Ann, whose presence on the island Jack has vehemently protested, Denham orders his group back to the boat.  That night, Ann is kidnapped from the ship by ...
                                                        "
The Sound of Music ,1965,"
                                                        The antics of tomboyish Maria, a novice at the abbey in Salzburg, concern the Mother Abbess, who is unsure of Maria's intensions. Encouraging the girl to test her feelings, the Mother Abbess sends Maria to be the governess for the seven children of the widower Baron Georg von Trapp, a retired naval officer. The children are at first hostile to Maria, but she soon wins them over. The baron, who is a strict disciplinarian, leaves to visit his love interest, Baroness Elsa Schraeder.  While he is gone, Maria allows the children greater freedom, and teaches them to sing. The youths become so excited when the baron returns that they fall out of a rowboat in the lake. The accident precipitates an argument between Maria and the baron, and he orders her to leave; but when he goes into the house and finds the children entertaining his friend Max Detweiler and the baroness with a song, he asks Maria to stay. Max later suggests that they enter the Salzburg Festival as a singing group, but the baron refuses. Maria becomes aware that she is falling in love with the baron and returns to the abbey. The children follow and try to persuade her to return; when the Mother Abbess learns of their visit, she sends Maria back to the Trapp home. Maria again decides to leave when she hears that the baron plans to marry the baroness.  However, the baroness soon realizes her suitor is in love with Maria, and releases him.  Maria weds the baron, and while they are away on their honeymoon, the Nazis take over Austria. Taking advantage of the baron's absence, Max enters ...
                                                        "
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,"
                                                        Crazed by the belief that the Communists are planning to conquer the free world by poisoning the water supply with fluoride, Gen. Jack D. Ripper, commanding officer of the U. S. Air Force base at Burpelson, unleashes a B-52 atomic bomb attack on Russia. Ripper prevents the countermanding of his orders through a secret code and makes himself inaccessible by sealing off the base. When President Muffley learns of the unauthorized mission, he summons his council to the War Room in the Pentagon and invites Russian Ambassador de Sadesky. Despite the hysterical advice of Gen. ""Buck"" Turgidson, who advocates limited nuclear war, the President orders U. S. land forces, under the command of Army Col. ""Bat"" Guano, to attack Burpelson. Ripper kills himself rather than face capture, but his R.A.F. aide, Group Capt. Lionel Mandrake, who has been locked in Ripper's office, works out the secret code that is instrumental in recalling the bombers. All appears safe until it is discovered that a plane commanded by a boisterous Texan, Maj. T. J. ""King"" Kong, did not receive the recall message. At this point, President Muffley learns from de Sadesky that the Russians have developed a ""Doomsday Device"" which will set off worldwide nuclear explosions if an atomic bomb is dropped anywhere over Russia. Desperate, the President turns to his physicist adviser, the paraplegic ex-Nazi, Dr. Strangelove, who calculates that humanity can survive if a selected few take to underground shelters and remain there for about 100 years. All efforts to halt the lone plane fail, and Kong wildly straddles the bomb as it plummets toward the earth. Consequently, the Doomsday Device is triggered, and atomic explosions are set off ...
                                                        "
The Treasure of the Sierra Madre ,1948,"
                                                        In 1925, in Tampico, Mexico, down-and-out Fred C. Dobbs is hired to work in an oil field, where he meets another American named Curtin. After the job is finished, Dobbs and Curtin head for a flophouse for the night. There, Howard, an old prospector, talks about men who succumbed to gold fever and lost everything, and Dobbs swears that would never happen to him.  Having learned that Pat McCormick, the man who hired them, has a reputation for defaulting on the money he owes his men, Dobbs and Curtin demand that he pay them immediately.  McCormick puts up a fight, but Dobbs and Curtin overpower him and take their money.  They then ask Howard to help them prospect for gold. Using their pay and the money from Dobbs's winning lottery ticket, the three men head toward the Sierra Madre mountains.  When their train is attacked by bandits, the Americans help fight them off, but a sudden motion of the train prevents Dobbs from killing their leader, Gold Hat.  Later, in a small village, the men buy burros and supplies and head for undiscovered territory. Just as the exhausted Dobbs and Curtin decide to quit, Howard informs them that they have located a rich lode of gold.  After a while, Dobbs begins to suspect the others of cheating him and suggests that they divide up the gold as they go along.  Just as Howard had warned, the men become suspicious of each other. When Dobbs is caught in a cave-in, Curtin briefly considers leaving him to die, in order to get a larger share of the treasure.  One day, when Curtin goes ...
                                                        "
The Best Years of Our Lives ,1946,"
                                                        At the end of World War II, three demobilized servicemen meet on a flight to Boone City, their mid-Western hometown. The men, Air Force Captain Fred Derry, sailor Homer Parrish, and Army Sergeant Al Stephenson, quickly develop a bond, even though they come from different backgrounds.  Al is a prominent banker with a wife and two children; Fred is a former soda jerk from the wrong side of the tracks, and Homer, who has lost both hands in the war, comes from a close-knit, middle-class family. As they share a taxi from the airport and happily reminisce about familiar locations, including a tavern run by Homer's uncle, Butch Engle, each expresses trepidation about the future and how they will adapt to civilian life. Homer is welcomed joyfully by his parents and girl friend, Wilma Cameron, but his mother cannot hide her heartbreak over seeing his prosthetic hooks.  Al is dropped off next at his swank apartment, where he is lovingly greeted by his wife Milly and two children, Peggy and Rob, who have grown up during their father's absence. Finally, Fred goes to see his good-hearted, alcoholic father Pat and his stepmother Hortense in the shanty in which they live and learns that his wife Marie has moved into her own apartment. At Al's apartment, the realization that things have changed during his absence makes Al feel awkward and he suggests that Milly and Peggy join him for a night out on the town. Homer is equally uncomfortable talking with Wilma's parents and decides to go to Butch's place, where he finds Fred brooding over not locating Marie. They are soon joined by a very intoxicated Al, ...
                                                        "
The Bridge on the River Kwai ,1957,"
                                                        In World War II Burma, after they are captured by Japanese troops during World War II, British commander Col. Nicholson and his troops march into Prisoner of War Camp 16 whistling their regimental tune.  Their crisp arrival is wryly observed by Shears, an American sailor who bribes a guard to transfer him from the burial detail to the infirmary.  When the camp’s commander, Col. Saito, imperiously informs the new prisoners that they will all be expected to work on building a railroad that will connect Bangkok to Rangoon, Nicholson protests that under the regulations of the Geneva Convention, all officers are exempt from manual labor.  Afterward, Nicholson goes to the infirmary to visit Jennings, one of his wounded men.  There Maj. Clipton, the camp’s medical officer, introduces the colonel to “Commander Major” Shears.  When Jennings proposes escaping, Nicholson counters that he was ordered by headquarters to surrender, and therefore escaping would constitute a military infraction.  Incredulous at the colonel’s naïveté, Shears retorts that escape is their only chance to avoid the death sentence of forced labor.  The following day, Saito announces that all the men, including officers, will work on building a bridge across the River Kwai.  When Nicholson defiantly waves a copy of the Geneva Convention, Saito slaps him across the face with it and flings it to the ground.  Nicholson still refuses to let his officers perform manual labor, and after the other men march off to work, Saito calls for a machine gun and threatens to gun down all the officers.  Watching in horror, Clipton runs out of the infirmary and protests that he and his ...
                                                        "
Annie Hall ,1977,"
                                                        Raised in Brooklyn, New York, Alvy Singer grows up to become a well-known comedian.  As an adult, he encounters relationship problems with his girl friend, Annie Hall, when she starts to withdraw her affection. Annie claims she is only going through a phase and reminds him of how he used to be “hot” for Allison, but then his ardor cooled off.  Alvy recalls meeting Allison, an ex-girl friend, at a 1956 benefit performance for Adlai Stevenson’s presidential campaign.  By 1964, Alvy has lost interest in the relationship. While making love to Allison, he obsesses over conflicting evidence related to the John F. Kennedy assassination, and Allison accuses him of using his fixation to avoid intimacy with her.  Alvy reflects that there is some truth in what Allison says—that, like the old Groucho Marx joke, he really does not want to be in any club that would have him as a member.  In a happier moment in their relationship, Alvy and Annie Hall vacation at the seashore, and delight in each other’s company as they attempt to cook live lobsters for dinner.  Alvy asks Annie if he is her first love.  She says no, and reminisces about old boyfriends.  When Alvy suggests that Annie is lucky he came along, she responds, “Well, la-dee-dah.""  Alvy is unimpressed with her choice of words, and Annie suggests that he prefers intellectual women because he married two of them.  However, Alvy’s memories of his earlier marriages are not particularly happy.  He recalls meeting Annie in 1975, on a tennis date with his friend, Rob, and Rob’s girl friend, Janet. Annie, a sometime actress ...
                                                        "
Snow White and the Seven Dwarfs ,1938,"
                                                        As part of her daily beauty routine, the Wicked Queen asks her Magic Mirror, ""Who is the fairest one of all?"" and is told that Snow White, her blossoming stepdaughter, is now the ""fairest one of all.""  In an envious rage, the queen orders a woodsman to kill Snow White, who has just met the handsome and endearing Prince, in the forest.  Once there, however, the woodsman finds he cannot do the deed and admonishes the princess to hide, while he returns to the queen with a pig's heart, which he claims belonged to Snow White. Frightened by the dark, stormy forest, Snow White runs wildly through the trees until she collapses with exhaustion on the forest floor. After her nap, she wakes to find the woods full of friendly, furry animals, who guide her to an empty cottage. Shocked by the decrepit condition of the cottage, Snow White enlists the help of the animals to clean it up, and then falls asleep in an upstairs bedroom, which has been furnished with seven tiny beds.  While Snow White sleeps, the owners of the beds, the Seven Dwarfs--Sleepy, Dopey, Doc, Sneezy, Grumpy, Bashful and Happy--return from working at the local diamond mine and discover the snoozing princess.  After much confusion, Snow White strikes a deal with the Dwarfs, offering her domestic services in exchange for room and board.  To Grumpy's dissatisfaction, Snow White turns the household upside down and instigates positive changes in the Dwarfs' life. The Dwarfs' newly found happiness ends abruptly when the evil queen, who has learned from the Magic Mirror that Snow White is alive, transforms herself into an old hag ...
                                                        "
One Flew Over the Cuckoo's Nest  ,1975,"
                                                        At an Oregon mental asylum, serene but tyrannical Nurse Ratched maintains firm control over the men’s ward. In the day room, calm music blares from a record player, as she and her assistant, Nurse Pilbow, hand out daily medications to their patients. Randle Patrick McMurphy, who is eager to escape a work farm prison where he is serving a six-month sentence for statutory rape, is delivered  to the asylum wearing handcuffs. When McMurphy attempts to greet a very tall Native American, called Chief Bromden, he is met with a blank stare and no response. Billy Bibbit, the youngest patient in the ward who has a marked stutter, informs McMurphy that Bromden is a deaf-mute. When the hospital psychiatrist, Dr. Spivey, meets with McMurphy, he tells him that the prison officials believe McMurphy is faking mental illness and informs him that the hospital staff will be evaluating him to determine whether he should be returned to complete his sentence or remain at the asylum. McMurphy arrives at Ratched’s ward as she is leading a group therapy session in which she urges the men to discuss the marital and sexual problems of Harding, a well-spoken, educated patient who suspects his wife of infidelity. The men are at first reluctant to speak up, but Ratched encourages them to talk. Due to the intrusive nature of the discussion, Harding becomes upset, causing tension to rise within the group.  The session ends with loud arguments that prompt the orderlies to physically remove some of the patients out of the room to restore the peace. During an outdoor exercise interval, McMurphy encourages Bromden to play basketball by climbing onto the shoulder of another ...
                                                        "
The Godfather Part II ,1974,"
                                                        In 1901, in the village of Corleone, Sicily, nine-year-old Vito Andolini is comforted by his mother as they walk in his father's funeral procession.  When shots ring out, Vito's older brother Paolo is killed, prompting Signora Andolini to take Vito to see local Black Hand leader, Don Francesco, called ""Ciccio,"" whom her husband had offended.  She begs him to spare Vito's life, but the don coldly refuses, prompting Vito's mother to take a knife to Ciccio's throat and scream for her son to run.  She is killed by the don's henchmen, but Vito escapes.  Despite threats from Ciccio's men, some villagers help Vito, enabling him to sail to America.  When he is diagnosed with smallpox and placed in quarantine on Ellis Island, Vito, who has been given the surname Corleone by an immigration official, gazes at the Statue of Liberty from his small room."
